seed,scenario,tick,time_s,position_arrived,status,contained_exact,contained_tol,truth_0,truth_1,truth_2,truth_3,truth_4,truth_5,lower_0,lower_1,lower_2,lower_3,lower_4,lower_5,upper_0,upper_1,upper_2,upper_3,upper_4,upper_5
70001,S0,0,0.0,1,VALID_NUMERICAL_BOX,1,1,-0.010413485025066005,2.019878467530748,-0.028017344566880455,0.00815476246885063,0.0,0.0,-0.02,2.0145708908397384,-0.1,-0.1,-0.005,-0.005609525976774836,0.01833553569435488,2.02,0.1,0.1,0.004387791954502073,0.01
70001,S0,1,0.02,0,VALID_NUMERICAL_BOX,1,1,-0.010973831916403614,2.020041562780125,-0.02800362784081098,0.010112179534499978,0.0,0.0,-0.022000000001021997,2.0125708908367166,-0.13846745172057962,-0.13975042812119523,-0.0006573013481180777,-0.005609525977784836,0.02033553569537688,2.022000000003022,0.13858876675293835,0.1436719511013557,0.004587791955507185,0.0036814108531510103
70001,S0,2,0.04,0,VALID_NUMERICAL_BOX,1,1,-0.011533904473219834,2.0202438063708152,-0.02798988506917024,0.01206802577083207,0.0,0.0,-0.02476934903645836,2.009775882271268,-0.17697453364204443,-0.17950085704226984,-0.0007694918686784358,-0.0037443071042168596,0.023107311031460416,2.024873439028074,0.17631697951673517,0.1873435098158349,0.001100210131067504,0.00368141085415662
70001,S0,3,0.06,0,VALID_NUMERICAL_BOX,1,1,-0.01209370217460324,2.020485166886232,-0.02797611632342605,0.014021515768426168,0.0,0.0,-0.02830883971032756,2.0061858651273936,-0.21479051259277807,-0.21925049746730046,-0.0008443780117639468,-0.003744307105220604,0.02663365062282343,2.0286203092274193,0.21406742322311925,0.23101389152654672,0.00117383834915181,0.0036814108551603644
70001,S0,4,0.08,0,VALID_NUMERICAL_BOX,1,1,-0.01265322450107176,2.0207655972016005,-0.027962321688245785,0.01597186473386394,0.0,0.0,-0.03260464996321573,2.0018008551750146,-0.2526210794314431,-0.2590021156303464,-0.0009192641548696064,-0.0037443071062243484,0.03091499908831842,2.0332405870609835,0.2518327047391152,0.2746823120873863,0.0012474665672562648,0.0036814108561641088
70001,S0,5,0.1,1,VALID_NUMERICAL_BOX,1,1,-0.013212470934836676,2.0210850344962776,-0.02794850126145295,0.017918288809704017,0.0,0.0,-0.03765707155288225,2.000767256520667,-0.2904662328907735,-0.2987564959663693,-0.0009941502979954144,-0.0003189314657581592,-0.0098408136812471,2.03873423330577,0.2896128230499467,0.3183479881366824,0.0013210947853808679,0.003681410857167853
70001,S0,6,0.12,0,VALID_NUMERICAL_BOX,1,1,-0.013771440960065735,2.0214434002724717,-0.027934655153978177,0.019860005395392916,0.0,0.0,-0.04346639621174118,1.9947921265982946,-0.3283259715318421,-0.3385144218123095,-0.0010005289283119723,-0.0003189314667618406,-0.004048557219204701,2.045101193071549,0.3274077769658568,0.36201013741053195,0.0013947230035256195,0.0036814108581715347
70001,S0,7,0.14,0,VALID_NUMERICAL_BOX,1,1,-0.014330134063145298,2.0218406003803797,-0.027920783489804753,0.021796233468950647,0.0,0.0,-0.05003291564342806,1.988021838158996,-0.36620029374482027,-0.3782766750941663,-0.0010069075586486775,-0.000318931467765522,0.002499598321162469,2.0523413958228116,0.3652039905108883,0.4056679790556949,0.0014683512216905187,0.003681410859175216
70001,S0,8,0.16,0,VALID_NUMERICAL_BOX,1,1,-0.014888549732941393,2.0222765250497585,-0.027906886405908615,0.02372619390926189,0.0,0.0,-0.05735692151938182,1.9804563046540522,-0.40408919774985197,-0.41804403601464224,-0.00101328618900553,-0.0003189314687692034,0.009803678132437592,2.0604547554069863,0.40300146284557165,0.44932073394192545,0.001541979439875565,0.0036814108601788977
70001,S0,9,0.18,0,VALID_NUMERICAL_BOX,1,1,-0.015446687461059564,2.022751048927944,-0.02789296405219287,0.02564910981879883,0.0,0.0,-0.0654387054754443,1.9720954239306898,-0.4419926815980417,-0.45781728274147737,-0.0010196648193825297,-0.0003189314697728848,0.017863707390414464,2.0694411700888944,0.4408001931175895,0.49296762497361346,0.0016156076580807585,0.0036814108611825792
